N°,NORTE,ESTE,COTA,DESCRIPCIÓN,
1,998090.376,661644.039,48.986,ACRE Afue.entr. la U /V Patacón,
2,997691.6716,661303.4198,54.83,ALJIBE UTP,
3,997810.246,661250.475,54.762,AULA 1,
4,997797.468,661228.315,54.005,AULA 2,
5,997752.687,661172.343,54.213,AULA 3,
6,997776.267,661136.434,55.619,AULA 4,
7,998091.0273,661466.1709,48.3905,BALON,
8,997624.9041,661215.0157,51.8708,CAFE,
9,997723.742,661139.284,55.449,CALDE. 1 Diagonal a Octavio,
10,997813.53,661461.753,56.534,CALDE 3 Tubo Hacia Rectoria,
11,997702.257,661163.251,55.38,CALDERÓN Diagonal a Octavio,
12,997858.566,661314.464,56.348,CERO 0,
13,997942.104,661369.408,54.303,CIEN 100,
14,997808.183,661292.419,55.593,DIANA,
15,997866.914,661319.969,56.256,DIEZ 10,
16,997826.881,661305.048,56.09,DONATO,
17,997763.373,661433.075,57.137,EDIF 1 CA,
18,997844.353,661290.483,56.168,EDIF 1 CB,
19,998080.443,661470.258,48.579,ELOY Diagonal a FIC 3  Cancha,
20,997574.4926,661242.5672,49.3005,FIC 1,
21,997812.615,661461.427,56.532,FIC 2  al lado de CALDE 3 H/R,
22,998137.43,661459.533,49.168,FIC 3 Cancha,
23,997694.274,661153.156,55.168,FIC 4,
24,998037.52,661430.508,51.822,GUERRERO,
25,998019.205,661035.267,56.331,GYM (Final Edi/Nue Invest),
26,997796.069,661098.773,55.844,INVESTIG 1,
27,997792.08,661054.153,53.218,INVESTIG 2,
28,997898.223,661004.701,53.29,INVESTIG 3,
29,997926.853,661033.101,55.841,INVESTIG 4,
30,998026.6699,661411.4049,52.3917,JOSY,
31,997835.902,661297.525,56.415,JULIO,
32,997933.757,661363.907,54.583,NOVENTA 90,
33,997967.212,661548.096,48.338,OCA 24,
34,997729.912,661169.664,54.9,OCTAVIO Diagonal a Calderón,
35,997706.3974,661383.5544,54.4769,PARQ.CA,
36,997874.19,661505.968,53.4796,POSTG 20,
37,997917.172,661534.583,51.2937,POSTG 21,
38,997979.724,661557.94,47.2828,POSTG 22,
39,998040.949,661513.69,44.5979,POSTG 23,
40,997955.21,661606.768,50.395,RECTORIA,
41,997956.02,661365.0784,54.0888,REINA,
42,997932.06,661346.097,54.522,SHELLER,
43,997919.891,661369.414,54.232,TOMAS Tubo diagonal a cafet.,
44,998075.919,661465.872,48.984,TOP 3,
45,997657.2626,661200.3816,53.4794,TOP 8,
46,997610.7061,661261.648,48.9605,TOP 9,
47,998075.919,661465.872,48.984,TOPOG 3,
48,998001.902,661408.644,54.687,TOPOG. 4 Cancha/Basket ,
49,997792.359,661263.147,54.687,TOPOG. 6  Antes de Diana,
50,997990.232,661611.179,49.73,UTP 1 Entrada U diago. a garita,
51,997691.639,661303.428,54.808,UTP 2 Aljibe,
